NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,Details ...,171,0.53500867,1.9246664,0,0,0,2749,"tags=48%, list=20%, signal=60%"
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,Details ...,165,0.53518325,1.9230925,0,0,0,4377,"tags=63%, list=33%, signal=92%"
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Details ...,166,0.5088913,1.824286,0,1.13E-04,4.00E-04,4238,"tags=58%, list=32%, signal=83%"
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,Details ...,50,0.5434847,1.766099,2.08E-04,3.33E-04,0.0016,3454,"tags=56%, list=26%, signal=75%"
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,Details ...,128,0.48720717,1.7243843,0,9.47E-04,0.0057,3556,"tags=45%, list=26%, signal=60%"
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,Details ...,174,0.46335068,1.6656022,0,0.001952999,0.014,5085,"tags=58%, list=38%, signal=92%"
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,Details ...,184,0.4368369,1.574046,0,0.007310865,0.06,3559,"tags=41%, list=26%, signal=55%"
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Details ...,102,0.40947604,1.424789,0.007162312,0.04659155,0.363,2923,"tags=37%, list=22%, signal=47%"
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Details ...,96,0.40322515,1.3990995,0.012321988,0.056989394,0.467,4971,"tags=51%, list=37%, signal=80%"
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,Details ...,178,0.38081053,1.3717487,0.005404323,0.0719398,0.5864,3552,"tags=37%, list=26%, signal=49%"
HALLMARK_UV_RESPONSE_UP,HALLMARK_UV_RESPONSE_UP,Details ...,143,0.3728043,1.3253013,0.018446116,0.115820535,0.79,2345,"tags=28%, list=17%, signal=34%"
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,Details ...,85,0.37777668,1.3006444,0.05821501,0.140704,0.8806,3705,"tags=42%, list=28%, signal=58%"
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,Details ...,177,0.3450066,1.2428724,0.04572286,0.24513803,0.983,4676,"tags=42%, list=35%, signal=64%"
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Details ...,40,0.39088714,1.2286447,0.1749655,0.26377878,0.9918,3584,"tags=38%, list=27%, signal=51%"
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,Details ...,119,0.34484974,1.2193946,0.1047131,0.2707218,0.9953,4112,"tags=35%, list=31%, signal=50%"
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,Details ...,97,0.35007718,1.2162263,0.12440675,0.2620687,0.9959,4018,"tags=39%, list=30%, signal=55%"
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,Details ...,172,0.33393767,1.1986051,0.0877316,0.2934532,0.9987,5047,"tags=40%, list=38%, signal=63%"
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,Details ...,176,0.33144143,1.1919278,0.095586024,0.29535615,0.9993,4018,"tags=38%, list=30%, signal=53%"
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,Details ...,82,0.34051943,1.1668026,0.19869971,0.35266498,0.9999,3928,"tags=38%, list=29%, signal=53%"
HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_ESTROGEN_RESPONSE_LATE,Details ...,187,0.28950164,1.0452466,0.38468468,0.8158228,1,3586,"tags=32%, list=27%, signal=43%"
HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_FATTY_ACID_METABOLISM,,142,0.28733188,1.021551,0.45133454,0.885456,1,3573,"tags=30%, list=27%, signal=41%"
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,,90,0.27981126,0.9662458,0.57372737,1,1,4156,"tags=33%, list=31%, signal=48%"
HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TGF_BETA_SIGNALING,,51,0.2911815,0.9518472,0.58231646,1,1,3405,"tags=31%, list=25%, signal=42%"
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,,188,0.26255512,0.94886553,0.6443155,1,1,4691,"tags=37%, list=35%, signal=56%"
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,,32,0.30925056,0.93874496,0.59106606,1,1,3913,"tags=31%, list=29%, signal=44%"
HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_EARLY,,179,0.25083244,0.904437,0.74392074,1,1,3750,"tags=28%, list=28%, signal=38%"
HALLMARK_P53_PATHWAY,HALLMARK_P53_PATHWAY,,179,0.2431026,0.8740465,0.8088662,1,1,4214,"tags=31%, list=31%, signal=44%"
HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY,,42,0.26269475,0.8337904,0.7517219,1,1,5726,"tags=45%, list=43%, signal=79%"
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,,171,0.22581638,0.8135182,0.8924247,1,1,6225,"tags=47%, list=46%, signal=86%"
HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_PANCREAS_BETA_CELLS,,38,0.25803918,0.8080042,0.7737288,1,1,5832,"tags=45%, list=43%, signal=79%"
HALLMARK_BILE_ACID_METABOLISM,HALLMARK_BILE_ACID_METABOLISM,,110,0.22234131,0.7800319,0.89021933,1,1,5829,"tags=45%, list=43%, signal=80%"
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,,179,0.20673566,0.7436253,0.95927554,1,1,3955,"tags=26%, list=29%, signal=36%"
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,,174,0.20264402,0.728568,0.9637565,1,1,5781,"tags=41%, list=43%, signal=72%"
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,,35,0.23580806,0.72607285,0.86789817,1,1,3511,"tags=31%, list=26%, signal=42%"
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,,78,0.20712979,0.7062135,0.93055415,1,1,5334,"tags=38%, list=40%, signal=63%"
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,,66,0.20388615,0.68694276,0.9314168,1,1,3700,"tags=23%, list=28%, signal=31%"
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,,149,0.18511026,0.6601893,0.981359,1,1,2189,"tags=15%, list=16%, signal=17%"
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,,172,0.17431971,0.62691903,0.9925926,1,1,4176,"tags=24%, list=31%, signal=34%"
HALLMARK_NOTCH_SIGNALING,HALLMARK_NOTCH_SIGNALING,,30,0.1826116,0.55052805,0.97431993,1,1,3398,"tags=23%, list=25%, signal=31%"
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,,180,0.14515662,0.5227748,0.9994997,1,1,5197,"tags=31%, list=39%, signal=50%"
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,,39,0.16358829,0.51491314,0.99041736,0.9974795,1,2455,"tags=15%, list=18%, signal=19%"
