"Term"	"Hallmark_NES"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB"	-0.190626515502581
"HALLMARK_HYPOXIA"	0.0136842929885094
"HALLMARK_CHOLESTEROL_HOMEOSTASIS"	-0.0246179027634474
"HALLMARK_MITOTIC_SPINDLE"	0.285642196793534
"HALLMARK_WNT_BETA_CATENIN_SIGNALING"	0.411188312969231
"HALLMARK_TGF_BETA_SIGNALING"	0.0985333482942963
"HALLMARK_IL6_JAK_STAT3_SIGNALING"	-0.214829914516212
"HALLMARK_DNA_REPAIR"	0.0703457530389947
"HALLMARK_G2M_CHECKPOINT"	0.382139072577732
"HALLMARK_APOPTOSIS"	-0.03268525517848
"HALLMARK_NOTCH_SIGNALING"	0.0888631705344407
"HALLMARK_ADIPOGENESIS"	-0.0146011993700025
"HALLMARK_ESTROGEN_RESPONSE_EARLY"	0.166784206634526
"HALLMARK_ESTROGEN_RESPONSE_LATE"	0.153380543644615
"HALLMARK_ANDROGEN_RESPONSE"	0.083215063224161
"HALLMARK_MYOGENESIS"	0.0170656451573149
"HALLMARK_PROTEIN_SECRETION"	0.250926728342858
"HALLMARK_INTERFERON_ALPHA_RESPONSE"	-0.402744029592592
"HALLMARK_INTERFERON_GAMMA_RESPONSE"	-0.417773460166526
"HALLMARK_APICAL_JUNCTION"	0.04533658002509
"HALLMARK_APICAL_SURFACE"	0.177555160327488
"HALLMARK_HEDGEHOG_SIGNALING"	0.189310746462902
"HALLMARK_COMPLEMENT"	-0.144742782617598
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE"	0.0871427236990819
"HALLMARK_PI3K_AKT_MTOR_SIGNALING"	0.122930375690842
"HALLMARK_MTORC1_SIGNALING"	0.0804321401490615
"HALLMARK_E2F_TARGETS"	0.275920647210762
"HALLMARK_MYC_TARGETS_V1"	0.247848510632441
"HALLMARK_MYC_TARGETS_V2"	0.413933772696706
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"	-0.271740265884297
"HALLMARK_INFLAMMATORY_RESPONSE"	-0.23477500758383
"HALLMARK_XENOBIOTIC_METABOLISM"	0.0468729391799818
"HALLMARK_FATTY_ACID_METABOLISM"	0.0133918253191061
"HALLMARK_OXIDATIVE_PHOSPHORYLATION"	-0.0192000320770306
"HALLMARK_GLYCOLYSIS"	0.204377861303516
"HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY"	0.0555047372223674
"HALLMARK_P53_PATHWAY"	0.0366561972815965
"HALLMARK_UV_RESPONSE_UP"	0.133112065252841
"HALLMARK_UV_RESPONSE_DN"	0.0458392957601628
"HALLMARK_ANGIOGENESIS"	-0.0720646815192605
"HALLMARK_HEME_METABOLISM"	0.166622868562427
"HALLMARK_COAGULATION"	-0.104464275958096
"HALLMARK_IL2_STAT5_SIGNALING"	-0.0561442822405024
"HALLMARK_BILE_ACID_METABOLISM"	0.0223023307976922
"HALLMARK_PEROXISOME"	0.172291315633052
"HALLMARK_ALLOGRAFT_REJECTION"	-0.272893804477456
"HALLMARK_SPERMATOGENESIS"	0.201050768166366
"HALLMARK_KRAS_SIGNALING_UP"	-0.13697715669934
"HALLMARK_KRAS_SIGNALING_DN"	0.0678859702021359
"HALLMARK_PANCREAS_BETA_CELLS"	-0.0547796408838942
"StromalSignature"	-0.494474490810477
"ImmuneSignature"	-0.586066227303294
