NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
HALLMARK_G2M_CHECKPOINT,HALLMARK_G2M_CHECKPOINT,Details ...,174,0.5068126,2.4751282,0,0,0,3560,"tags=54%, list=26%, signal=73%"
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,Details ...,165,0.4531297,2.191461,0,0,0,3946,"tags=50%, list=29%, signal=69%"
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,Details ...,50,0.5129675,2.0037498,0,6.18E-05,3.00E-04,4701,"tags=66%, list=35%, signal=101%"
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,Details ...,171,0.38501686,1.8671211,0,6.21E-04,0.004,3002,"tags=33%, list=22%, signal=42%"
HALLMARK_MITOTIC_SPINDLE,HALLMARK_MITOTIC_SPINDLE,Details ...,178,0.35211748,1.7251991,0,0.00294437,0.0235,3360,"tags=38%, list=25%, signal=50%"
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,Details ...,40,0.40020385,1.4973035,0.029635563,0.024836257,0.2176,3402,"tags=45%, list=25%, signal=60%"
HALLMARK_SPERMATOGENESIS,HALLMARK_SPERMATOGENESIS,Details ...,119,0.31839496,1.4718611,0.008838643,0.026551915,0.2641,2881,"tags=31%, list=21%, signal=39%"
HALLMARK_GLYCOLYSIS,HALLMARK_GLYCOLYSIS,Details ...,177,0.2680543,1.313195,0.030693676,0.094736174,0.7145,3072,"tags=34%, list=23%, signal=43%"
HALLMARK_PEROXISOME,HALLMARK_PEROXISOME,Details ...,97,0.25914964,1.1565195,0.18780291,0.28714404,0.9874,2443,"tags=27%, list=18%, signal=33%"
HALLMARK_HEME_METABOLISM,HALLMARK_HEME_METABOLISM,Details ...,172,0.23381859,1.1370738,0.17085633,0.29588878,0.994,2249,"tags=22%, list=17%, signal=26%"
HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PI3K_AKT_MTOR_SIGNALING,Details ...,96,0.2234631,0.9923389,0.46977967,0.6390392,1,2541,"tags=21%, list=19%, signal=26%"
HALLMARK_APICAL_SURFACE,HALLMARK_APICAL_SURFACE,Details ...,39,0.2607644,0.96659803,0.49697948,0.66593987,1,3109,"tags=31%, list=23%, signal=40%"
HALLMARK_PROTEIN_SECRETION,HALLMARK_PROTEIN_SECRETION,Details ...,85,0.20755032,0.9011496,0.677459,0.8053454,1,3437,"tags=35%, list=26%, signal=47%"
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,Details ...,171,0.18328457,0.8914288,0.75409836,0.7728594,1,2926,"tags=23%, list=22%, signal=29%"
HALLMARK_DNA_REPAIR,HALLMARK_DNA_REPAIR,Details ...,128,0.1785302,0.83589065,0.85854733,0.84177315,1,3458,"tags=27%, list=26%, signal=35%"
