NAME,GS<br> follow link to MSigDB,GS DETAILS,SIZE,ES,NES,NOM p-val,FDR q-val,FWER p-val,RANK AT MAX,LEADING EDGE
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,Details ...,179,-0.62223446,-3.0944982,0,0,0,2523,"tags=58%, list=19%, signal=70%"
HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,Details ...,82,-0.64965904,-2.8432243,0,0,0,2571,"tags=65%, list=19%, signal=79%"
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Details ...,186,-0.5478875,-2.7339635,0,0,0,2161,"tags=46%, list=16%, signal=54%"
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,Details ...,172,-0.5319118,-2.6210885,0,0,0,3032,"tags=51%, list=23%, signal=64%"
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,Details ...,185,-0.49754497,-2.483132,0,0,0,2284,"tags=41%, list=17%, signal=49%"
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Details ...,183,-0.47575232,-2.3729231,0,0,0,3101,"tags=46%, list=23%, signal=60%"
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,Details ...,177,-0.42821488,-2.118842,0,4.37E-05,2.00E-04,2488,"tags=39%, list=19%, signal=47%"
HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,Details ...,78,-0.48345903,-2.0982378,0,3.82E-05,2.00E-04,1669,"tags=33%, list=12%, signal=38%"
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,Details ...,180,-0.4003992,-1.9923848,0,2.70E-04,0.0015,1953,"tags=29%, list=15%, signal=34%"
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,Details ...,174,-0.39545473,-1.95052,0,3.77E-04,0.0024,2333,"tags=34%, list=17%, signal=40%"
HALLMARK_COAGULATION,HALLMARK_COAGULATION,Details ...,128,-0.39263493,-1.8589964,2.24E-04,8.08E-04,0.0059,1953,"tags=27%, list=15%, signal=31%"
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,Details ...,35,-0.42672786,-1.5623974,0.019442096,0.013612699,0.1078,2264,"tags=40%, list=17%, signal=48%"
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,Details ...,180,-0.29675764,-1.476344,0.002703312,0.028057227,0.2272,2434,"tags=29%, list=18%, signal=35%"
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,Details ...,149,-0.29243883,-1.4138111,0.012485812,0.04680001,0.3687,2677,"tags=30%, list=20%, signal=37%"
HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_OXIDATIVE_PHOSPHORYLATION,Details ...,166,-0.28255156,-1.389889,0.013754228,0.054695833,0.437,1561,"tags=20%, list=12%, signal=22%"
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,Details ...,66,-0.3280604,-1.3777606,0.047829937,0.0575029,0.4754,2556,"tags=29%, list=19%, signal=35%"
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,Details ...,176,-0.27618727,-1.3665894,0.01939311,0.059611686,0.5095,3267,"tags=36%, list=24%, signal=47%"
HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANDROGEN_RESPONSE,Details ...,90,-0.30008346,-1.3368958,0.04713432,0.073255256,0.6083,2706,"tags=29%, list=20%, signal=36%"
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,Details ...,129,-0.28058854,-1.3284969,0.038315035,0.074320905,0.6359,3439,"tags=36%, list=26%, signal=48%"
HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_XENOBIOTIC_METABOLISM,Details ...,188,-0.2612347,-1.30685,0.032479413,0.085120544,0.7062,2488,"tags=24%, list=19%, signal=30%"
HALLMARK_ADIPOGENESIS,HALLMARK_ADIPOGENESIS,,176,-0.25091925,-1.2422789,0.070901364,0.13654535,0.8741,958,"tags=15%, list=7%, signal=16%"
